Date,Open,High,Low,Close,Volume,Adj Close
2012/12/3,51.28,51.37,51.03,51.03,1325800,45.56
2012/12/4,51.28,51.4,51.13,51.22,1671300,45.73
2012/12/5,51.69,52.14,51.58,51.87,2920700,46.31
2012/12/6,51.89,51.92,51.62,51.75,1517600,46.2
2012/12/7,51.37,51.73,51.27,51.68,1921400,46.14
2012/12/10,51.48,51.7,51.47,51.54,1116200,46.01
2012/12/11,51.87,52.06,51.74,51.84,1226700,46.28
2012/12/12,51.82,52.24,51.75,51.79,1153600,46.24
2012/12/13,52.03,52.09,51.67,51.72,1695100,46.17
2012/12/14,51.81,52.1,51.66,52.03,1576400,46.45
2012/12/17,51.69,52.15,51.67,52.13,1416000,46.54
2012/12/18,51.94,52.37,51.91,52.26,1514000,46.65
2012/12/19,53.21,53.3,52.8,52.82,2411900,47.15
2012/12/20,53.06,53.07,52.87,53.05,1342600,47.36
2012/12/21,52.39,52.77,52.31,52.66,1274700,47.01
2012/12/24,52.77,52.85,52.61,52.69,508700,47.04
2012/12/26,52.82,52.93,52.62,52.81,836300,47.15
2012/12/27,53.01,53.05,52.42,52.79,1045200,47.13
2012/12/28,52.33,52.75,52.33,52.54,886800,46.9
2012/12/31,52.5,53.15,52.32,53.07,1489400,47.38
2013/1/2,54.36,54.46,54.01,54.29,1603200,48.47
2013/1/3,53.59,53.66,53.23,53.35,1339800,47.63
2013/1/4,53.47,53.82,53.44,53.68,1457200,47.92
2013/1/7,53.79,53.89,53.56,53.76,1432900,47.99
2013/1/8,53.11,53.27,52.92,53.18,1892900,47.48
2013/1/9,53.64,53.94,53.58,53.7,1459500,47.94
2013/1/10,54.32,54.58,54.22,54.46,1375900,48.62
2013/1/11,54.62,54.88,54.33,54.61,1636600,48.75
2013/1/14,54.63,54.69,54.2,54.49,1065800,48.65
2013/1/15,54.46,54.84,54.41,54.77,1904700,48.9
2013/1/16,54.64,54.93,54.48,54.78,2837800,48.9
2013/1/17,55.23,55.47,54.9,55.36,1481900,49.42
2013/1/18,55.38,55.45,55.15,55.3,1010500,49.37
2013/1/22,55,55.27,54.89,55.11,1270600,49.2
2013/1/23,55.06,55.36,55.05,55.24,1057600,49.31
2013/1/24,55.23,55.8,55.23,55.48,1317900,49.53
2013/1/25,56.01,56.35,55.89,56.33,1835300,50.29
2013/1/28,56.76,56.76,56.2,56.22,1144800,50.19
2013/1/29,56.49,56.95,56.38,56.85,1704800,50.75
2013/1/30,57.14,57.37,57.01,57.12,1952600,50.99
2013/1/31,56.95,57.21,56.79,56.86,1912900,50.76
2013/2/1,56.75,56.84,56.53,56.83,1306700,50.73
2013/2/4,55.86,56.1,55.48,55.72,1533300,49.74
2013/2/5,55.77,55.95,55.53,55.66,1274700,49.69
2013/2/6,55.37,56.02,55.3,55.98,764000,49.98
2013/2/7,55.59,55.63,54.93,55.33,1161700,49.4
2013/2/8,56.34,56.82,56.28,56.76,1150100,50.67
2013/2/11,56.46,56.48,56.12,56.24,796300,50.21
2013/2/12,56.71,57.2,56.71,56.98,1327000,50.87
2013/2/13,57.03,57.24,56.69,56.86,827800,50.76
2013/2/14,56.28,56.49,56.1,56.32,906800,50.28
2013/2/15,56.67,56.88,56.41,56.57,1026700,50.5
2013/2/19,56.23,56.62,56.21,56.3,1004000,50.26
2013/2/20,56.25,56.3,55.68,55.7,1163500,49.73
2013/2/21,55.05,55.07,54.58,54.72,1459100,48.85
2013/2/22,55.21,55.31,54.91,55.17,1525300,49.25
2013/2/25,55.41,55.67,54.37,54.4,2072600,48.57
2013/2/26,54.4,54.74,53.9,54.29,1460200,48.47
2013/2/27,54.66,55.32,54.56,55.2,1577300,49.28
2013/2/28,55.75,55.88,55.44,55.44,1846700,49.49
2013/3/1,54.29,54.97,54.14,54.83,1447500,48.95
2013/3/4,53.71,53.95,53.45,53.95,1877300,48.16
2013/3/5,54.05,54.22,53.88,54.08,2491100,48.28
2013/3/6,54.07,54.15,53.69,53.97,2511800,48.18
2013/3/7,54.34,54.38,54.06,54.11,1068600,48.31
2013/3/8,55.08,55.13,54.72,54.87,1570000,48.98
2013/3/11,54.52,54.85,54.52,54.82,1164200,48.94
2013/3/12,54.71,54.74,54.17,54.33,1593100,48.5
2013/3/13,53.99,54.35,53.86,54.22,1164700,48.4
2013/3/14,55.24,55.87,55.1,55.71,2132300,49.73
2013/3/15,55.02,55.09,54.34,54.54,2232800,48.69
2013/3/18,54.37,54.69,54.3,54.42,1551100,48.58
